City,Latitude,Longitude,Maximum Temperature (F),Humidity,Cloudiness,Wind Speed,Country,Date and Time
Ancud,-41.8697,-73.8203,48.94,68,0,14.14,CL,2022-05-22 19:23:12
Lagoa,39.05,-27.9833,62.24,92,100,5.97,PT,2022-05-22 19:23:13
Atasū,48.6814,71.6433,46.18,49,0,2.86,KZ,2022-05-22 19:23:13
Colares,38.7992,-9.4469,65.88,81,75,25.01,PT,2022-05-22 19:18:38
Sharanga,57.1775,46.5396,30.96,90,83,6.58,RU,2022-05-22 19:23:14
Bonavista,48.6499,-53.1147,54.23,70,100,15.28,CA,2022-05-22 19:23:14
Kununurra,-15.7667,128.7333,58.98,82,93,0.0,AU,2022-05-22 19:23:14
Priyutnoye,46.1011,43.5072,57.27,85,69,8.5,RU,2022-05-22 19:23:15
Lüderitz,-26.6481,15.1594,58.19,69,24,7.27,NA,2022-05-22 19:23:15
Marsala,37.7966,12.4352,73.89,83,0,4.61,IT,2022-05-22 19:23:15
Viedma,-40.8135,-62.9967,58.64,35,100,13.31,AR,2022-05-22 19:23:16
Antalaha,-14.9003,50.2788,71.92,84,25,7.23,MG,2022-05-22 19:23:16
Safi,32.2994,-9.2372,68.72,73,100,21.14,MA,2022-05-22 19:23:16
Florina,40.782,21.4098,63.07,85,71,4.29,GR,2022-05-22 19:23:18
Assiut,27.181,31.1837,78.98,20,0,10.27,EG,2022-05-22 19:23:18
Volodarskiy,46.4013,48.5409,62.55,74,3,7.74,RU,2022-05-22 19:23:19
Amga,60.8953,131.9608,35.29,89,2,2.75,RU,2022-05-22 19:23:19
Twentynine Palms,34.1356,-116.0542,87.06,16,0,2.73,US,2022-05-22 19:23:20
Quesnel,52.9999,-122.5029,63.1,34,0,4.61,CA,2022-05-22 19:23:20
Salalah,17.0151,54.0924,84.29,84,75,6.91,OM,2022-05-22 19:21:02
Carlisle,40.2015,-77.1889,91.04,62,59,7.56,US,2022-05-22 19:22:57
Longyearbyen,78.2186,15.6401,35.44,87,75,5.75,SJ,2022-05-22 19:23:21
Maltahöhe,-24.8333,16.9833,54.54,46,19,7.18,NA,2022-05-22 19:23:21
Butaritari,3.0707,172.7902,81.34,79,59,10.8,KI,2022-05-22 19:23:21
Senekal,-28.3197,27.6208,51.22,68,5,3.27,ZA,2022-05-22 19:23:22
Lamar,33.6668,-95.5836,62.51,88,100,10.36,US,2022-05-22 19:23:22
Katsuura,35.1333,140.3,64.9,88,66,9.51,JP,2022-05-22 19:21:42
Maragogi,-9.0122,-35.2225,79.2,79,5,15.23,BR,2022-05-22 19:23:23
Amalāpuram,16.5833,82.0167,83.37,75,28,3.2,IN,2022-05-22 19:23:23
College,64.8569,-147.8028,64.35,29,40,9.22,US,2022-05-22 19:23:23
Khudumelapye,-23.8833,24.75,52.66,53,0,2.13,BW,2022-05-22 19:23:24
Khatanga,71.9667,102.5,31.82,93,100,6.78,RU,2022-05-22 19:23:24
Whangarei,-35.7317,174.3239,52.57,92,100,3.71,NZ,2022-05-22 19:23:25
Santiago de Cao,-7.9589,-79.2392,64.53,77,64,12.66,PE,2022-05-22 19:23:25
Maniitsoq,65.4167,-52.9,32.22,99,100,17.47,GL,2022-05-22 19:23:25
Kikwit,-5.041,18.8162,73.98,82,84,2.04,CD,2022-05-22 19:23:26
Grand-Santi,4.25,-54.3833,81.23,87,62,1.3,GF,2022-05-22 19:23:26
Novopokrovka,49.8425,36.5477,49.12,90,95,13.38,UA,2022-05-22 19:23:27
Kalabo,-14.97,22.6814,57.61,30,77,6.04,ZM,2022-05-22 19:23:27
Fort Nelson,58.8053,-122.7002,54.99,54,75,6.91,CA,2022-05-22 19:23:27
Meulaboh,4.1363,96.1285,78.08,87,100,2.1,ID,2022-05-22 19:23:28
Anuradhapura,8.3565,80.4173,78.76,85,73,13.65,LK,2022-05-22 19:23:28
Banda Aceh,5.5577,95.3222,81.0,79,100,13.56,ID,2022-05-22 19:23:28
Bud,39.447,-86.1758,67.82,54,100,12.24,US,2022-05-22 19:23:29
Ozinki,51.1786,49.6769,44.83,95,100,12.06,RU,2022-05-22 19:23:29
Pacific Grove,36.6177,-121.9166,69.22,80,20,10.36,US,2022-05-22 19:23:00
Zanjān,36.6736,48.4787,65.1,24,28,2.17,IR,2022-05-22 19:23:29
Malumfashi,11.7853,7.6218,88.11,20,61,6.44,NG,2022-05-22 19:23:30
Northam,51.0333,-4.2167,57.61,89,100,8.23,GB,2022-05-22 19:23:30
St. George's,12.0564,-61.7485,87.48,62,20,18.41,GD,2022-05-22 19:19:49
Mayo,38.8876,-76.5119,94.46,63,0,13.8,US,2022-05-22 19:23:31
Puerto Escondido,15.85,-97.0667,88.63,66,0,8.05,MX,2022-05-22 19:20:28
Ponta do Sol,32.6667,-17.1,72.01,79,14,2.06,PT,2022-05-22 19:23:31
Bestöbe,52.4994,73.0975,48.52,51,0,14.29,KZ,2022-05-22 19:23:31
Naze,28.3667,129.4833,65.32,72,100,2.8,JP,2022-05-22 19:23:32
Tubinskiy,52.8892,58.2225,35.44,93,91,5.39,RU,2022-05-22 19:23:32
Camacha,33.0833,-16.3333,65.62,64,20,11.5,PT,2022-05-22 19:23:33
Polson,47.6936,-114.1632,59.72,37,5,1.43,US,2022-05-22 19:23:33
Ransang,8.9603,117.5828,78.6,81,100,4.05,PH,2022-05-22 19:23:33
Aketi,2.7388,23.7833,73.89,83,94,3.33,CD,2022-05-22 19:23:34
Kailua,21.4022,-157.7394,80.15,71,100,9.22,US,2022-05-22 19:23:34
Martapura,-3.4167,114.85,77.09,100,100,1.14,ID,2022-05-22 19:23:35
Alice Springs,-23.7,133.8833,44.15,70,44,0.0,AU,2022-05-22 19:23:35
Araouane,18.9048,-3.5265,96.58,7,0,11.95,ML,2022-05-22 19:23:35
Severnyy,50.677,36.5532,44.64,87,0,4.47,RU,2022-05-22 19:23:36
Kruisfontein,-34.0033,24.7314,53.89,76,100,2.8,ZA,2022-05-22 19:22:09
Saint George,37.1041,-113.5841,85.78,11,0,3.44,US,2022-05-22 19:23:36
Wellington,-41.2866,174.7756,53.26,86,75,14.97,NZ,2022-05-22 19:19:27
Talnakh,69.4865,88.3972,33.21,100,100,2.08,RU,2022-05-22 19:23:37
La Orilla,17.9833,-102.2333,83.62,62,24,10.96,MX,2022-05-22 19:23:37
Waipawa,-41.4122,175.5153,49.53,75,95,11.34,NZ,2022-05-22 19:23:38
Lyubech,51.7026,30.6569,47.48,95,95,5.79,UA,2022-05-22 19:23:38
Misratah,32.3754,15.0925,71.08,53,0,9.66,LY,2022-05-22 19:20:13
Udachny,66.4167,112.4,48.45,52,10,2.1,RU,2022-05-22 19:23:38
Barra de Tecoanapa,16.5167,-98.75,85.1,58,0,10.56,MX,2022-05-22 19:23:40
Suşehri,40.1644,38.0867,58.28,69,79,3.36,TR,2022-05-22 19:23:40
Bahía Blanca,-38.7196,-62.2724,63.0,34,100,17.58,AR,2022-05-22 19:23:41
Nakamura,32.9833,132.9333,62.1,73,100,4.23,JP,2022-05-22 19:23:41
Tahe,52.3333,124.7333,45.43,91,100,11.34,CN,2022-05-22 19:23:42
Nador,35.174,-2.9287,78.87,50,0,14.97,MA,2022-05-22 19:23:06
Bilibino,68.0546,166.4372,43.16,70,79,3.89,RU,2022-05-22 19:23:42
Nālūt,30.3333,10.85,79.05,6,0,7.38,LY,2022-05-22 19:23:42
Flinders,-34.5833,150.8552,54.68,92,100,3.0,AU,2022-05-22 19:23:43
Yulara,-25.2406,130.9889,56.73,43,100,8.34,AU,2022-05-22 19:23:43
Sirpur,19.4833,79.6,94.06,20,0,4.5,IN,2022-05-22 19:23:44
Porto-Novo,6.4965,2.6036,80.42,85,100,6.02,BJ,2022-05-22 19:23:44
Necochea,-38.5473,-58.7368,60.98,47,100,12.91,AR,2022-05-22 19:23:45
Buraidah,26.326,43.975,95.45,8,1,16.67,SA,2022-05-22 19:22:49
Henties Bay,-22.116,14.2845,61.81,62,7,8.93,NA,2022-05-22 19:23:45
Sioux Lookout,50.1001,-91.917,53.67,30,75,6.91,CA,2022-05-22 19:23:46
Berdigestyakh,62.0989,126.6992,39.24,89,17,2.64,RU,2022-05-22 19:20:35
Totness,5.8833,-56.3167,78.87,85,100,5.14,SR,2022-05-22 19:23:46
Kaposvár,46.3667,17.8,60.67,71,24,5.19,HU,2022-05-22 19:23:46
Maxixe,-23.8597,35.3472,67.77,94,96,4.09,MZ,2022-05-22 19:23:47
Rongcheng,30.634,117.8517,68.0,82,100,1.86,CN,2022-05-22 19:23:47
Moroto,2.5345,34.6666,69.98,68,70,3.51,UG,2022-05-22 19:23:48
Pitsunda,43.1592,40.3378,59.18,61,0,5.82,GE,2022-05-22 19:23:48
Campo Formoso,-10.5075,-40.3214,79.59,45,11,11.23,BR,2022-05-22 19:23:48
Strezhevoy,60.7333,77.5889,64.44,62,80,17.81,RU,2022-05-22 19:23:49
Plettenberg Bay,-34.0527,23.3716,58.51,67,100,3.69,ZA,2022-05-22 19:23:49
Praia,14.9215,-23.5087,75.74,60,20,12.66,CV,2022-05-22 19:23:49
Bago,17.3367,96.4797,78.73,92,100,2.21,MM,2022-05-22 19:23:50
Lodja,-3.4833,23.4333,72.64,87,79,2.57,CD,2022-05-22 19:23:50
Angoche,-16.2325,39.9086,76.91,79,0,9.26,MZ,2022-05-22 19:23:50
Mandalī,33.7499,45.5541,89.64,9,0,6.38,IQ,2022-05-22 19:23:51
Ketchikan,55.3422,-131.6461,57.67,44,0,11.5,US,2022-05-22 19:23:51
Airai,-8.9266,125.4092,58.64,90,50,3.58,TL,2022-05-22 19:23:51
Boca do Acre,-8.7522,-67.3978,90.46,42,79,2.19,BR,2022-05-22 19:23:52
Boffa,10.1667,-14.0333,80.51,72,26,6.42,GN,2022-05-22 19:23:52
Nampula,-15.1165,39.2666,71.55,88,0,9.22,MZ,2022-05-22 19:23:52
Yeppoon,-23.1333,150.7333,65.98,88,100,10.56,AU,2022-05-22 19:23:53
Umm Kaddadah,13.6017,26.6876,85.5,15,100,8.84,SD,2022-05-22 19:23:32
Hatillo,18.4863,-66.8254,86.56,75,100,5.99,PR,2022-05-22 19:23:53
Evensk,61.95,159.2333,37.83,92,98,2.33,RU,2022-05-22 19:23:54
Lumphat,13.4878,106.9816,74.32,98,100,4.23,KH,2022-05-22 19:23:54
Kasama,-10.2129,31.1808,66.29,60,88,2.77,ZM,2022-05-22 19:23:55
Shiyan,32.6475,110.7781,61.7,87,0,2.95,CN,2022-05-22 19:23:55
Nānākuli,21.3906,-158.1547,80.11,64,100,9.22,US,2022-05-22 19:23:55
San Jose,37.3394,-121.895,83.91,46,20,10.36,US,2022-05-22 19:21:40
Sur,22.5667,59.5289,91.76,45,0,11.41,OM,2022-05-22 19:23:56
Moshi,-3.35,37.3333,69.19,73,69,1.3,TZ,2022-05-22 19:23:56
Saint-Pierre,-21.3393,55.4781,71.28,68,0,5.75,RE,2022-05-22 19:23:56
Acapulco de Juárez,16.8634,-99.8901,84.02,65,100,9.22,MX,2022-05-22 19:19:33
Khorixas,-20.3667,14.9667,63.68,17,1,12.64,NA,2022-05-22 19:23:57
Coracora,-15.0333,-73.7833,60.98,19,92,10.71,PE,2022-05-22 19:23:57
Pedersore,63.65,22.6833,50.47,68,100,7.87,FI,2022-05-22 19:23:58
Kavaratti,10.5669,72.642,83.64,80,91,18.21,IN,2022-05-22 19:23:58
Deputatsky,69.3,139.9,27.28,94,84,3.36,RU,2022-05-22 19:23:58
Vihti,60.417,24.3197,50.11,45,100,7.0,FI,2022-05-22 19:23:59
Ulaanbaatar,47.9077,106.8832,41.13,56,0,4.47,MN,2022-05-22 19:23:59
Laguna,38.421,-121.4238,87.06,26,0,5.75,US,2022-05-22 19:20:28
Batagay-Alyta,67.8006,130.4114,31.01,89,98,3.53,RU,2022-05-22 19:24:00
Tres Arroyos,-38.3739,-60.2798,61.9,37,100,14.47,AR,2022-05-22 19:24:00
Ozerki,57.6167,39.8833,41.02,56,0,6.71,RU,2022-05-22 19:24:00
Roald,62.5833,6.1333,60.17,93,75,3.44,NO,2022-05-22 19:24:02
San Andrés,12.5847,-81.7006,87.82,74,100,13.8,CO,2022-05-22 19:24:02
Powell,40.1578,-83.0752,67.8,68,75,11.5,US,2022-05-22 19:23:41
Ippy,6.2679,21.2247,76.23,66,25,3.11,CF,2022-05-22 19:24:03
Ostrovnoy,68.0531,39.5131,30.67,81,18,10.02,RU,2022-05-22 19:24:03
Baiyin,36.5583,104.2081,64.6,53,96,4.94,CN,2022-05-22 19:24:04
Nanlong,31.3533,106.0631,67.01,83,0,2.8,CN,2022-05-22 19:24:04
Matagami,49.7502,-77.6328,42.91,70,100,6.91,CA,2022-05-22 19:24:04
Doha,25.2867,51.5333,93.18,19,0,13.8,QA,2022-05-22 19:22:38
Yinchuan,38.4681,106.2731,64.29,48,14,5.59,CN,2022-05-22 19:24:05
Hernani,43.2662,-1.9762,65.8,83,100,17.27,ES,2022-05-22 19:24:05
Dingle,10.9995,122.6711,77.2,88,100,4.23,PH,2022-05-22 19:24:06
Rūdbār,30.15,62.6,74.37,18,0,21.21,AF,2022-05-22 19:24:06
Grajewo,53.6473,22.4554,48.4,97,100,8.28,PL,2022-05-22 19:24:06
Kurumkan,54.3,110.3,44.65,81,3,3.58,RU,2022-05-22 19:24:07
Medina del Campo,41.3124,-4.9141,66.7,57,99,16.71,ES,2022-05-22 19:24:07
Tālcher,20.95,85.2167,84.61,53,24,11.45,IN,2022-05-22 19:24:07
Jilib,0.4883,42.7854,79.3,79,100,12.35,SO,2022-05-22 19:24:08
Nayoro,44.3506,142.4578,52.11,96,91,2.57,JP,2022-05-22 19:24:08
Kloulklubed,7.0419,134.2556,83.68,75,100,7.96,PW,2022-05-22 19:24:08
Machinga,-15.1685,35.3,67.48,64,94,1.88,MW,2022-05-22 19:21:16
Avera,33.194,-82.5271,90.37,36,100,11.54,US,2022-05-22 19:24:09
Helong,42.5397,128.9972,50.95,61,7,4.5,CN,2022-05-22 19:24:09
Taoudenni,22.6783,-3.9836,97.81,8,0,10.27,ML,2022-05-22 19:24:10
Pevek,69.7008,170.3133,34.65,89,89,11.32,RU,2022-05-22 19:24:10
Clevelândia,-26.3958,-52.4708,59.92,68,99,4.14,BR,2022-05-22 19:24:10
Goderich,43.7501,-81.7165,46.72,87,100,9.22,CA,2022-05-22 19:22:05
Vestmannaeyjar,63.4427,-20.2734,51.84,73,5,3.36,IS,2022-05-22 19:24:11
Guadalupe,25.6833,-100.25,88.63,53,75,13.8,MX,2022-05-22 19:19:42
Garden City,42.3256,-83.331,68.25,59,100,11.5,US,2022-05-22 19:24:11
Ilhabela,-23.7781,-45.3581,70.32,70,4,4.18,BR,2022-05-22 19:23:30
Anadyr,64.75,177.4833,45.1,70,0,8.95,RU,2022-05-22 19:24:12
Sørland,67.667,12.6934,46.26,92,100,8.03,NO,2022-05-22 19:24:12
Williston,48.147,-103.618,59.04,30,100,3.0,US,2022-05-22 19:12:01
Bantogon,6.5333,124.0333,78.1,79,100,3.33,PH,2022-05-22 19:24:13
Maningrida,-12.0667,134.2667,71.19,91,89,7.65,AU,2022-05-22 19:24:13
Ginda,30.6945,78.4932,55.62,66,0,6.22,IN,2022-05-22 19:24:14
Narutochō-mitsuishi,34.1833,134.6167,66.18,82,20,5.75,JP,2022-05-22 19:24:14
Kiama,-34.6833,150.8667,54.88,93,100,1.99,AU,2022-05-22 19:24:14
Trail,49.0998,-117.7022,66.69,46,72,1.99,CA,2022-05-22 19:24:15
Bodden Town,19.2833,-81.25,86.94,77,20,10.36,KY,2022-05-22 19:24:15
Ponta Delgada,37.7333,-25.6667,65.12,100,100,9.22,PT,2022-05-22 19:24:15
Youhao,47.8667,128.8333,51.58,60,100,4.12,CN,2022-05-22 19:24:16
Adré,13.4667,22.2,88.14,13,60,15.01,TD,2022-05-22 19:24:16
Hamilton,39.1834,-84.5333,68.09,72,100,9.22,US,2022-05-22 19:24:03
Mae Hong Son,19.3003,97.9685,72.39,98,18,1.48,TH,2022-05-22 19:24:17
Portland,45.5234,-122.6762,72.37,49,75,8.05,US,2022-05-22 19:18:10
Merauke,-8.4667,140.3333,79.02,84,27,11.72,ID,2022-05-22 19:24:17
Arlit,18.7369,7.3853,94.44,13,100,7.58,NE,2022-05-22 19:24:18
Marawi,7.9986,124.2928,69.49,94,100,3.87,PH,2022-05-22 19:24:18
Itarema,-2.9248,-39.9167,81.79,81,61,8.01,BR,2022-05-22 19:24:18
Bengkulu,-3.8004,102.2655,76.19,90,28,3.78,ID,2022-05-22 19:24:19
Anloga,5.7947,0.8973,79.47,78,74,6.24,GH,2022-05-22 19:24:19
Zhoucheng,35.9122,116.3117,66.11,48,88,5.86,CN,2022-05-22 19:24:20
Waddān,29.1614,16.139,79.21,10,0,6.91,LY,2022-05-22 19:24:20
Mbandaka,0.0487,18.2603,73.18,95,100,1.34,CD,2022-05-22 19:24:20
Pereira Barreto,-20.6383,-51.1092,77.76,27,3,3.2,BR,2022-05-22 19:24:21
Chinandega,12.6294,-87.1311,80.44,74,100,2.1,NI,2022-05-22 19:24:21
Khani,41.9563,42.9566,56.77,59,99,6.29,GE,2022-05-22 19:24:22
Klamath Falls,42.2249,-121.7817,62.87,31,0,6.91,US,2022-05-22 19:22:01
Ugoofaaru,5.6667,73.0,83.19,78,51,13.96,MV,2022-05-22 19:21:15
Verkhoyansk,67.5447,133.385,41.65,81,27,2.73,RU,2022-05-22 19:24:22
Manzhouli,49.6,117.4333,54.52,54,100,8.19,CN,2022-05-22 19:24:23
Barcelos,41.5388,-8.6151,67.84,85,65,6.13,PT,2022-05-22 19:24:23
Jieshi,22.8134,115.8257,72.81,89,100,13.49,CN,2022-05-22 19:24:24
Narsaq,60.9167,-46.05,39.42,99,100,5.66,GL,2022-05-22 19:24:24
Malakal,9.5334,31.6605,84.6,53,100,6.85,SS,2022-05-22 19:24:26
Pontianak,-0.0333,109.3333,78.78,94,100,1.14,ID,2022-05-22 19:24:26
Maceió,-9.6658,-35.7353,81.84,65,75,9.22,BR,2022-05-22 19:24:27
Sar-e Pul,35.8333,66.1667,45.48,78,24,2.06,AF,2022-05-22 19:24:27
Solano,38.2333,-121.9511,88.12,24,0,11.5,US,2022-05-22 19:24:28
Winnemucca,40.973,-117.7357,64.45,25,0,6.91,US,2022-05-22 19:24:28
Bilma,18.6853,12.9164,92.05,9,95,6.51,NE,2022-05-22 19:24:28
Mount Gambier,-37.8333,140.7667,35.51,100,100,4.61,AU,2022-05-22 19:24:29
Roebourne,-20.7833,117.1333,78.21,75,100,4.68,AU,2022-05-22 19:24:29
Nuevo Progreso,23.1667,-97.95,89.89,56,0,15.01,MX,2022-05-22 19:24:29
Chui,-33.6971,-53.4616,63.21,57,39,4.88,UY,2022-05-22 19:24:30
Hermagor,46.6272,13.3672,61.7,95,67,1.74,AT,2022-05-22 19:24:30
Varadero,23.1536,-81.2514,88.56,71,47,21.36,CU,2022-05-22 19:24:31
Saint Anthony,45.0205,-93.218,57.88,39,75,18.41,US,2022-05-22 19:24:31
Shuangcheng,45.35,126.2833,58.68,47,78,9.64,CN,2022-05-22 19:24:31
Departamento de Maldonado,-34.6667,-54.9167,65.23,52,43,2.06,UY,2022-05-22 19:24:17
Burns Lake,54.2331,-125.7533,62.02,28,0,6.62,CA,2022-05-22 19:24:32
Polewali,-3.4324,119.3435,76.57,89,100,3.02,ID,2022-05-22 19:24:32
Potam,27.6,-110.3833,91.04,22,35,13.2,MX,2022-05-22 19:24:33
Hasaki,35.7333,140.8333,57.6,83,100,6.31,JP,2022-05-22 19:24:33
Ribas do Rio Pardo,-20.4431,-53.7592,78.62,25,6,2.17,BR,2022-05-22 19:24:33
Lugovoy,42.9472,72.7644,49.23,81,100,4.07,KZ,2022-05-22 19:24:34
Khanbari,27.3747,87.2039,67.08,81,100,3.22,NP,2022-05-22 19:24:34
Eureka,40.8021,-124.1637,74.75,74,96,5.99,US,2022-05-22 19:24:35
Jumla,29.2747,82.1838,48.52,94,76,2.64,NP,2022-05-22 19:24:35
Presque Isle,46.6811,-68.0159,72.03,85,100,10.36,US,2022-05-22 19:24:35
Biak,-0.9131,122.8766,76.01,83,98,5.82,ID,2022-05-22 19:24:36
Talcahuano,-36.7167,-73.1167,55.08,94,100,9.22,CL,2022-05-22 19:24:36
Bosobolo,4.1833,19.9,74.55,77,88,1.68,CD,2022-05-22 19:24:36
Fiditi,7.7136,3.9172,79.75,95,97,4.63,NG,2022-05-22 19:24:37
Provideniya,64.3833,-173.3,49.15,43,100,10.78,RU,2022-05-22 19:24:37
General Roca,-39.0333,-67.5833,63.09,34,100,27.81,AR,2022-05-22 19:24:38
Conde,-7.2597,-34.9075,78.26,89,75,10.36,BR,2022-05-22 19:24:38
Zarichne,51.8126,26.129,48.9,94,100,6.22,UA,2022-05-22 19:24:38
Cap Malheureux,-19.9842,57.6142,72.46,76,6,3.0,MU,2022-05-22 19:24:39
Songea,-10.6833,35.65,61.25,74,7,1.39,TZ,2022-05-22 19:24:39
Christchurch,-43.5333,172.6333,38.95,89,8,2.3,NZ,2022-05-22 19:24:39
Batemans Bay,-35.7167,150.1833,55.09,87,81,5.53,AU,2022-05-22 19:22:10
Skibbereen,51.55,-9.2667,55.11,86,11,13.94,IE,2022-05-22 19:24:40
Āsbe Teferī,9.0833,40.8667,68.83,27,6,3.47,ET,2022-05-22 19:24:40
Coquimbo,-29.9533,-71.3436,62.33,72,0,8.05,CL,2022-05-22 19:24:41
Navoiy,40.0844,65.3792,58.48,67,3,4.61,UZ,2022-05-22 19:24:41
Buala,-8.145,159.5921,79.77,80,7,5.59,SB,2022-05-22 19:24:41
Betioky,-23.7167,44.3833,68.11,51,0,5.61,MG,2022-05-22 19:24:42
Lethem,3.3803,-59.7968,72.82,95,100,2.17,GY,2022-05-22 19:24:42
Mineiros,-17.5694,-52.5511,76.57,28,4,3.42,BR,2022-05-22 19:24:43
Te Anau,-45.4167,167.7167,36.86,91,14,0.67,NZ,2022-05-22 19:24:43
Kabompo,-13.5927,24.2008,59.14,54,20,6.04,ZM,2022-05-22 19:24:43
Samdrup Jongkhar District,26.9167,91.6167,66.15,88,100,4.23,BT,2022-05-22 19:24:44
Rehoboth,-23.3167,17.0833,53.26,47,6,6.64,NA,2022-05-22 19:24:44
Lahat,-3.8,103.5333,72.99,97,92,2.21,ID,2022-05-22 19:24:45
Bereda,43.2686,-7.5406,62.42,99,100,3.04,ES,2022-05-22 19:24:45
Makkah al Mukarramah,21.4267,39.8261,87.46,36,0,4.92,SA,2022-05-22 19:22:19
Ranong,9.9658,98.6348,80.94,84,100,14.83,TH,2022-05-22 19:24:45
Altay,47.8667,88.1167,65.48,28,81,6.53,CN,2022-05-22 19:24:46
Nouadhibou,20.931,-17.0347,67.98,77,1,20.71,MR,2022-05-22 19:24:46
Flin Flon,54.7682,-101.865,64.24,19,75,16.11,CA,2022-05-22 19:24:47
Kautokeino,69.0125,23.0412,35.82,97,100,2.93,NO,2022-05-22 19:24:47
Inhambane,-23.865,35.3833,68.43,92,96,4.32,MZ,2022-05-22 19:24:48
Moranbah,-22.0016,148.0466,63.25,82,100,13.89,AU,2022-05-22 19:24:48
Poum,-20.2333,164.0167,78.33,79,0,11.18,NC,2022-05-22 19:24:48
Pāsighāt,28.0667,95.3333,72.36,91,98,3.31,IN,2022-05-22 19:24:49
Samarina,57.8878,27.8054,49.89,52,18,9.46,RU,2022-05-22 19:24:49
Sistranda,63.7256,8.834,57.16,83,100,14.56,NO,2022-05-22 19:24:49
Krasnyy Yar,46.5331,48.3456,62.53,71,4,6.85,RU,2022-05-22 19:24:50
Athabasca,54.7169,-113.2854,64.81,33,100,8.39,CA,2022-05-22 19:24:50
Westerland,54.9079,8.3033,55.94,82,0,3.44,DE,2022-05-22 19:24:50
Porto Walter,-8.2686,-72.7439,88.52,47,59,3.18,BR,2022-05-22 19:24:51
Tual,-5.6667,132.75,83.1,76,63,14.0,ID,2022-05-22 19:24:51
Najrān,17.4924,44.1277,81.25,11,0,4.23,SA,2022-05-22 19:24:51
Udangudi,8.4333,78.0167,81.32,75,14,11.21,IN,2022-05-22 19:24:52
Mount Isa,-20.7333,139.5,58.77,82,0,3.44,AU,2022-05-22 19:24:52
Ambon City,-3.6954,128.1814,75.34,94,40,3.44,ID,2022-05-22 19:24:53
Vangaži,57.0936,24.5486,51.64,64,100,6.2,LV,2022-05-22 19:24:53
Sydney,-33.8679,151.2073,55.76,82,75,9.22,AU,2022-05-22 19:24:53
Channel-Port aux Basques,47.5702,-59.1367,49.01,91,100,13.04,CA,2022-05-22 19:24:54
Magdalena,14.1999,121.429,78.35,93,99,0.36,PH,2022-05-22 19:24:54
Awjilah,29.1081,21.2869,77.0,22,0,10.67,LY,2022-05-22 19:24:55
Kvitok,56.0724,98.4813,45.72,73,81,3.69,RU,2022-05-22 19:24:55
